job_title,competence,grade,min_score
Бизнес Аналитик,Английский язык,Junior,2
Бизнес Аналитик,Английский язык,Middle,4
Бизнес Аналитик,Английский язык,Senior,5
Бизнес Аналитик,Китайский язык,Junior,3
Бизнес Аналитик,Китайский язык,Middle,4
Бизнес Аналитик,Китайский язык,Senior,5
Бизнес Аналитик,C++,Junior,3
Бизнес Аналитик,C++,Middle,4
Бизнес Аналитик,C++,Senior,5
Бизнес Аналитик,Java,Junior,2
Бизнес Аналитик,Java,Middle,5
Бизнес Аналитик,Java,Senior,5
Бизнес Аналитик,Python,Junior,3
Бизнес Аналитик,Python,Middle,4
Бизнес Аналитик,Python,Senior,5
Бизнес Аналитик,Креативное мышление,Junior,3
Бизнес Аналитик,Креативное мышление,Middle,4
Бизнес Аналитик,Креативное мышление,Senior,5
Бизнес Аналитик,Критическое мышление,Junior,3
Бизнес Аналитик,Критическое мышление,Middle,4
Бизнес Аналитик,Критическое мышление,Senior,4
Бизнес Аналитик,Принятие решения,Junior,3
Бизнес Аналитик,Принятие решения,Middle,4
Бизнес Аналитик,Принятие решения,Senior,4
Бизнес Аналитик,Решение проблем,Junior,3
Бизнес Аналитик,Решение проблем,Senior,4
Бизнес Аналитик,Решение проблем,Middle,5
Бизнес Аналитик,Управление проектом,Junior,2
Бизнес Аналитик,Управление проектом,Middle,3
Бизнес Аналитик,Управление проектом,Senior,5
Бизнес Аналитик,Эмоциональный интеллект,Junior,3
Бизнес Аналитик,Эмоциональный интеллект,Middle,4
Бизнес Аналитик,Эмоциональный интеллект,Senior,5
Бизнес Аналитик,Межличностные навыки,Junior,3
Бизнес Аналитик,Межличностные навыки,Middle,5
Бизнес Аналитик,Межличностные навыки,Senior,5
Бизнес Аналитик,Граммотная письменная речь,Junior,2
Бизнес Аналитик,Граммотная письменная речь,Middle,4
Бизнес Аналитик,Граммотная письменная речь,Senior,5
Бизнес Аналитик,Деловая переписка,Junior,2
Бизнес Аналитик,Деловая переписка,Middle,4
Бизнес Аналитик,Деловая переписка,Senior,4
Бизнес Аналитик,Ораторское искусство,Junior,3
Бизнес Аналитик,Ораторское искусство,Middle,5
Бизнес Аналитик,Ораторское искусство,Senior,5
Бизнес Аналитик,CorelDraw,Junior,3
Бизнес Аналитик,CorelDraw,Middle,5
Бизнес Аналитик,CorelDraw,Senior,5
Бизнес Аналитик,PhotoShop,Junior,2
Бизнес Аналитик,PhotoShop,Middle,5
Бизнес Аналитик,PhotoShop,Senior,5
Бизнес Аналитик,Linux,Junior,2
Бизнес Аналитик,Linux,Middle,5
Бизнес Аналитик,Linux,Senior,5
Бизнес Аналитик,MacOS,Junior,3
Бизнес Аналитик,MacOS,Middle,5
Бизнес Аналитик,MacOS,Senior,5
Бизнес Аналитик,Windows,Junior,2
Бизнес Аналитик,Windows,Middle,3
Бизнес Аналитик,Windows,Senior,4
Бизнес Аналитик,Asana,Junior,3
Бизнес Аналитик,Asana,Middle,5
Бизнес Аналитик,Asana,Senior,5
Бизнес Аналитик,Jira,Junior,3
Бизнес Аналитик,Jira,Middle,5
Бизнес Аналитик,Jira,Senior,5
Бизнес Аналитик,Trello,Junior,3
Бизнес Аналитик,Trello,Middle,4
Бизнес Аналитик,Trello,Senior,5
Бизнес Аналитик,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Junior,2
Бизнес Аналитик,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Middle,4
Бизнес Аналитик,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Senior,5
Бизнес Аналитик,Разработка веб-приложений,Junior,3
Бизнес Аналитик,Разработка веб-приложений,Middle,5
Бизнес Аналитик,Разработка веб-приложений,Senior,5
Бизнес Аналитик,Разработка мобильных приложений Android,Junior,3
Бизнес Аналитик,Разработка мобильных приложений Android,Middle,5
Бизнес Аналитик,Разработка мобильных приложений Android,Senior,5
Бизнес Аналитик,Разработка мобильных приложений iOS,Junior,2
Бизнес Аналитик,Разработка мобильных приложений iOS,Middle,4
Бизнес Аналитик,Разработка мобильных приложений iOS,Senior,5
Бизнес Аналитик,Делегирование,Junior,2
Бизнес Аналитик,Делегирование,Middle,4
Бизнес Аналитик,Делегирование,Senior,5
Бизнес Аналитик,Менторство,Junior,2
Бизнес Аналитик,Менторство,Middle,3
Бизнес Аналитик,Менторство,Senior,5
Бизнес Аналитик,Обратная связь,Junior,3
Бизнес Аналитик,Обратная связь,Middle,4
Бизнес Аналитик,Обратная связь,Senior,5
Бизнес Аналитик,Планирование,Junior,3
Бизнес Аналитик,Планирование,Middle,4
Бизнес Аналитик,Планирование,Senior,5
Бизнес Аналитик,Соблюдение сроков,Junior,2
Бизнес Аналитик,Соблюдение сроков,Middle,5
Бизнес Аналитик,Соблюдение сроков,Senior,5
Бизнес Аналитик,ML,Junior,3
Бизнес Аналитик,ML,Middle,4
Бизнес Аналитик,ML,Senior,5
Бизнес Аналитик,Pandas,Junior,2
Бизнес Аналитик,Pandas,Middle,5
Бизнес Аналитик,Pandas,Senior,5
Бизнес Аналитик,Seaborn,Junior,2
Бизнес Аналитик,Seaborn,Middle,4
Бизнес Аналитик,Seaborn,Senior,5
Бизнес Аналитик,Clickhouse,Junior,2
Бизнес Аналитик,Clickhouse,Middle,5
Бизнес Аналитик,Clickhouse,Senior,5
Бизнес Аналитик,MS SQL Server,Junior,2
Бизнес Аналитик,MS SQL Server,Middle,4
Бизнес Аналитик,MS SQL Server,Senior,5
Бизнес Аналитик,MySQL,Junior,3
Бизнес Аналитик,MySQL,Middle,5
Бизнес Аналитик,MySQL,Senior,5
Дизайнер,Английский язык,Junior,3
Дизайнер,Английский язык,Middle,4
Дизайнер,Английский язык,Senior,4
Дизайнер,Китайский язык,Junior,4
Дизайнер,Китайский язык,Middle,4
Дизайнер,Китайский язык,Senior,4
Дизайнер,C++,Junior,2
Дизайнер,C++,Middle,4
Дизайнер,C++,Senior,4
Дизайнер,Java,Junior,5
Дизайнер,Java,Middle,4
Дизайнер,Java,Middle,4
Дизайнер,Python,Junior,3
Дизайнер,Python,Middle,4
Дизайнер,Python,Senior,4
Дизайнер,Межличностные навыки,Junior,2
Дизайнер,Межличностные навыки,Middle,4
Дизайнер,Межличностные навыки,Senior,5
Дизайнер,Граммотная письменная речь,Junior,2
Дизайнер,Граммотная письменная речь,Middle,4
Дизайнер,Граммотная письменная речь,Senior,4
Дизайнер,Деловая переписка,Junior,3
Дизайнер,Деловая переписка,Middle,5
Дизайнер,Деловая переписка,Senior,5
Дизайнер,Ораторское искусство,Junior,3
Дизайнер,Ораторское искусство,Middle,4
Дизайнер,Ораторское искусство,Senior,4
Дизайнер,CorelDraw,Junior,2
Дизайнер,CorelDraw,Middle,4
Дизайнер,CorelDraw,Senior,5
Дизайнер,PhotoShop,Junior,4
Дизайнер,PhotoShop,Middle,4
Дизайнер,PhotoShop,Senior,5
Дизайнер,Linux,Junior,2
Дизайнер,Linux,Middle,4
Дизайнер,Linux,Senior,4
Дизайнер,MacOS,Junior,2
Дизайнер,MacOS,Middle,4
Дизайнер,MacOS,Senior,4
Дизайнер,Windows,Junior,2
Дизайнер,Windows,Middle,4
Дизайнер,Windows,Senior,4
Дизайнер,Asana,Junior,2
Дизайнер,Asana,Middle,4
Дизайнер,Asana,Senior,4
Дизайнер,Jira,Junior,4
Дизайнер,Jira,Middle,4
Дизайнер,Jira,Senior,4
Дизайнер,Trello,Junior,2
Дизайнер,Trello,Middle,4
Дизайнер,Trello,Senior,4
Дизайнер,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Junior,2
Дизайнер,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Middle,4
Дизайнер,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Senior,4
Дизайнер,Разработка веб-приложений,Junior,2
Дизайнер,Разработка веб-приложений,Middle,4
Дизайнер,Разработка веб-приложений,Senior,4
Дизайнер,Разработка мобильных приложений Android,Junior,2
Дизайнер,Разработка мобильных приложений Android,Middle,4
Дизайнер,Разработка мобильных приложений Android,Senior,4
Дизайнер,Разработка мобильных приложений iOS,Junior,3
Дизайнер,Разработка мобильных приложений iOS,Middle,4
Дизайнер,Разработка мобильных приложений iOS,Senior,4
Дизайнер,Делегирование,Junior,2
Дизайнер,Делегирование,Middle,4
Дизайнер,Делегирование,Senior,5
Дизайнер,Менторство,Junior,2
Дизайнер,Менторство,Middle,4
Дизайнер,Менторство,Senior,5
Дизайнер,Обратная связь,Junior,2
Дизайнер,Обратная связь,Middle,4
Дизайнер,Обратная связь,Senior,5
Дизайнер,Планирование,Junior,5
Дизайнер,Планирование,Middle,4
Дизайнер,Планирование,Senior,4
Дизайнер,Соблюдение сроков,Junior,3
Дизайнер,Соблюдение сроков,Middle,4
Дизайнер,Соблюдение сроков,Senior,5
Дизайнер,ML,Junior,3
Дизайнер,ML,Middle,4
Дизайнер,ML,Senior,4
Дизайнер,Pandas,Junior,2
